gene,temperature,n,score_combined,max_combined,min_combined
cdc3,23,2,-0.16172980008328056,0.5410451300925809,-5.174094563197147
cdc3,27,2,-0.37040488620383766,0.5410451300925809,-5.174094563197147
cdc3,30,2,-5.174094563197147,0.5410451300925809,-5.174094563197147
cdc3,33,1,0.5410451300925809,0.5410451300925809,-5.174094563197147
cdc31,23,3,4.49850785951961,5.05147130121767,3.8049591751275247
cdc31,27,3,4.992694286322669,5.05147130121767,3.8049591751275247
cdc31,30,7,3.8049591751275247,5.05147130121767,3.8049591751275247
cdc31,33,4,5.05147130121767,5.05147130121767,3.8049591751275247
cdc33,23,2,3.147976609908955,3.147976609908955,-1.054281087377487
cdc33,27,2,2.8748971020854346,3.147976609908955,-1.054281087377487
cdc33,30,1,-1.054281087377487,3.147976609908955,-1.054281087377487
cdc34,23,1,0.36623416941198533,0.36623416941198533,-2.585934852185777
cdc34,27,1,-0.5144135806194873,0.36623416941198533,-2.585934852185777
cdc34,30,1,-2.585934852185777,0.36623416941198533,-2.585934852185777
cdc35,23,2,1.8011137739002125,3.885092877992962,1.8011137739002125
cdc35,27,2,2.980080914776691,3.885092877992962,1.8011137739002125
cdc35,30,2,2.541848332448702,3.885092877992962,1.8011137739002125
cdc35,33,1,3.885092877992962,3.885092877992962,1.8011137739002125
cdc36,23,2,1.8080574531781195,3.804135385031215,-1.104245678717868
cdc36,27,2,3.804135385031215,3.804135385031215,-1.104245678717868
cdc36,30,1,-1.104245678717868,3.804135385031215,-1.104245678717868
cdc37,23,4,0.25722605567935763,0.25722605567935763,-7.207370739565075
cdc37,27,4,0.20454396020023402,0.25722605567935763,-7.207370739565075
cdc37,30,4,-2.0411939037051425,0.25722605567935763,-7.207370739565075
cdc37,33,3,-7.207370739565075,0.25722605567935763,-7.207370739565075
cdc39,27,1,3.2858970010810054,3.2858970010810054,1.9674966603701989
cdc39,30,1,1.9674966603701989,3.2858970010810054,1.9674966603701989
cdc4,23,2,-0.5516802014622345,-0.4581516496678703,-1.1430308341796802
cdc4,27,2,-0.4581516496678703,-0.4581516496678703,-1.1430308341796802
cdc4,30,2,-1.1430308341796802,-0.4581516496678703,-1.1430308341796802
cdc42,23,1,-1.5624760394497794,-1.0685901366830124,-1.5624760394497794
cdc42,27,1,-1.0685901366830124,-1.0685901366830124,-1.5624760394497794
cdc42,30,1,-1.1632454545599242,-1.0685901366830124,-1.5624760394497794
cdc42,33,1,-1.240300822763609,-1.0685901366830124,-1.5624760394497794
cdc43,23,2,-0.9187644617003221,-0.9187644617003221,-3.8242693322615384
cdc43,27,2,-2.274617623852594,-0.9187644617003221,-3.8242693322615384
cdc43,30,2,-3.8242693322615384,-0.9187644617003221,-3.8242693322615384
cdc45,23,1,-0.0640219510695094,1.2350556297579152,-0.34739025977855764
cdc45,27,1,0.9042592983148564,1.2350556297579152,-0.34739025977855764
