strain_id,strain_name,temperature,size,control_size,log2_ratio,z
TS-3J22,cse4-1,30,0.6907461618709974,1.256789276821733,-0.8634211728835701,-1.4673303263736435
TS-2B11,yrb1-51,27,0.8409006281512189,1.2574244367458873,-0.5804076522066106,-1.4672758904545393
TS-1O20,rpt1-1,23,0.7120162521903357,1.1053381220174783,-0.6344335872453069,-1.4587772528946485
TS-1D19,act1-111,30,0.7288081522846312,1.319853722477418,-0.8566784085667811,-1.4538995672060815
TS-3M22,cdc48-9,27,0.5740749597765767,0.8549726771480639,-0.5745566326428719,-1.4494858928292145
TS-3B7,gpi13-3,27,0.6058407289095527,0.9022659229705573,-0.5745359056896235,-1.4494228726247778
TS-2N22,nuf2-61,23,0.5000081147910793,0.7727562361654811,-0.6279600598451399,-1.4427508086547027
TS-2G21,mtr4-1,33,0.5546394330264821,0.8773664303676167,-0.6615336511754928,-1.4411862543358196
TS-3F6,cdc37-ts,27,0.7842356556204515,1.1655342508770141,-0.5715720837138062,-1.4404113857655567
TS-1N14,prp6-ts,23,0.7272593853397799,1.1230557329199247,-0.6268177055302164,-1.4399226939965475
TS-3L3,tub2-443,33,0.7413725024512288,1.1716907914739876,-0.6602499213149333,-1.4361777035023156
TS-4L5,mob2-19,30,0.6246088576310951,1.1231371380386777,-0.8464066510801199,-1.4334394866590803
TS-5E15,nse4-ts3,23,0.6545680919829366,1.0087164237997892,-0.6238280985182865,-1.4325213551106086
TS-1E8,ceg1-c354,33,0.38635105651311935,0.6101677715303193,-0.6591566927510211,-1.4319124051687497
TS-5C14,yip1-4,27,0.885821349665488,1.312924909632365,-0.5676437561351954,-1.4284673241308816
TS-1O12,rpt6-25,30,0.5455276914330258,0.9778187907390832,-0.8417977993181323,-1.4242592194650865
TS-2B13,psf1-1,23,0.45874940073324055,0.7046590728887798,-0.6191094223746143,-1.420839377816286
TS-1L16,cdc11-1,23,0.6755484914306303,1.0371763599640287,-0.6184555409251014,-1.4192205703343121
TS-2C21,cdc8-1,23,0.4893482579872989,0.7508771001466908,-0.6176125623047127,-1.417133616959437
TS-4B15,dfr1-td,30,0.4763522375245044,0.8515596761983495,-0.8379454468174365,-1.4165858059755225
TS-3F11,nbp1-1,23,0.8157108861115105,1.2502046231457904,-0.6159729711234497,-1.4130744981794439
TS-2B11,yrb1-51,23,1.0865531767968146,1.6646986073867143,-0.6154561093427058,-1.4117949088617807
TS-1O12,rpt6-25,33,0.6266218108253929,0.984856051389703,-0.6522341512672102,-1.404903684733131
TS-2B19,lcb2-1,27,0.5001906766720233,0.7360917485957581,-0.557315012985853,-1.397062828880488
TS-5F5,rsc8-ts21,30,0.47489043429237204,0.8430642184566118,-0.8279151846312889,-1.396606754435159
TS-1H3,las17-14,27,0.6164373280295709,0.9066981319526729,-0.5565931743393164,-1.39486808185087
TS-1B7,gpi13-3,27,0.7491927217997449,1.1016666658950724,-0.5562173765957632,-1.3937254705687532
TS-5B18,rse1-1,27,0.6655774918969185,0.9775940813588591,-0.554559731010252,-1.3886854069168328
TS-5B18,rse1-1,23,0.788553251711383,1.1997300926630137,-0.6053670879879964,-1.3868176239625616
TS-1I6,cdc21-ts,30,0.6584315194592576,1.1603072529006702,-0.8173068186409765,-1.3754761910514621
TS-1C5,rho1-td,27,0.7120771188951911,1.0403749332853094,-0.5469342185597941,-1.3655000719666195
TS-3J2,myo2-16,33,0.7053747984311491,1.1003837178226412,-0.641471348351241,-1.362911948643014
TS-3H18,cdc43-2,27,0.719612893294732,1.0497483870776008,-0.5446875885578059,-1.3586692039503767
TS-2M6,stu2-13,30,0.6097955323133614,1.067839582806727,-0.8081959780367048,-1.3573285144872174
TS-1C5,rho1-td,30,0.5123502448188044,0.8968030293333873,-0.807540077140014,-1.35602204038144
TS-2E15,cdc14-2,27,0.896175658174627,1.3061648208124108,-0.5434329856887221,-1.3548545897932052
TS-2I17,uso1-1,23,0.48081804201060135,0.7248911814647119,-0.5921723957600487,-1.35415166208697
TS-3M22,cdc48-9,23,0.5066986969536323,0.7634663163328361,-0.5913406465342298,-1.352092509207064
TS-1I6,cdc21-ts,33,0.7651695253725578,1.190369493527758,-0.637490796388802,-1.3473815808749925
TS-3M22,cdc48-9,30,0.45302060678447237,0.7903204837746539,-0.8027252324180686,-1.3464314604869836
TS-2J4,sec26-11d26,33,0.8704628968512451,1.35057551625144,-0.6336606866558051,-1.3324381726977823
TS-1J22,cse4-1,23,0.46263083802878857,0.6931462446634402,-0.5831946477261121,-1.3319255449529857
TS-2I17,uso1-1,27,0.6331742270896206,0.9179639211488443,-0.535764240278844,-1.3315378052320235
TS-3O20,rpt1-1,27,0.529629260930794,0.7677488561184922,-0.5355671561042586,-1.330938571720724
