A,n_a,P_a_est,ci95_a,Q,n_qa,P_qa_est,ci95_qa,P_q_diff,P_q_diff_ci95,P_q_diff_upr,P_q_diff_lwr
psy4,68,0.9968403735931517,0.019738242511319164,rtt101,10,0.9808844526852438,0.032035343916443894,-0.015955920907907872,0.037627934799567275,0.021672013891659403,-0.05358385570747515
psy4,68,0.9968403735931517,0.019738242511319164,rtt107,2,1.0158665931851414,0.21911696668923072,0.01902621959198969,0.22000418929767016,0.23903040888965985,-0.20097796970568046
psy4,68,0.9968403735931517,0.019738242511319164,rtt109,4,1.0144560849289328,0.10200198857875602,0.017615711335781103,0.10389419565816138,0.12150990699394248,-0.08627848432238028
psy4,68,0.9968403735931517,0.019738242511319164,saw1,7,1.0401294161949541,0.1345076523242545,0.04328904260180244,0.13594817671163587,0.1792372193134383,-0.09265913410983342
psy4,68,0.9968403735931517,0.019738242511319164,sgs1,9,1.0873516709308277,0.07505784247169882,0.09051129733767604,0.07760977988592677,0.1681210772236028,0.012901517451749278
psy4,68,0.9968403735931517,0.019738242511319164,shu1,6,0.9498294864735612,0.03195634577743977,-0.04701088711959045,0.03756070091043217,-0.00945018620915828,-0.08457158803002263
psy4,68,0.9968403735931517,0.019738242511319164,shu2,3,0.988992841037726,0.09303861592001884,-0.007847532555425696,0.0951093174707317,0.087261784915306,-0.1029568500261574
psy4,68,0.9968403735931517,0.019738242511319164,sin4,4,0.9615024936138172,0.0972879851017571,-0.03533787997933446,0.09927008745133328,0.06393220747199882,-0.13460796743066775
psy4,68,0.9968403735931517,0.019738242511319164,siz1,4,0.9589622126699899,0.08140052236871817,-0.03787816092316176,0.08375943683750407,0.04588127591434231,-0.12163759776066584
psy4,68,0.9968403735931517,0.019738242511319164,sky1,4,1.0947338734547203,0.2051213962953818,0.09789349986156859,0.20606888517096103,0.3039623850325296,-0.10817538530939244
psy4,68,0.9968403735931517,0.019738242511319164,slx4,6,1.0682468454489673,0.06004908309943448,0.07140647185581561,0.06320989320128957,0.13461636505710517,0.00819657865452604
psy4,68,0.9968403735931517,0.019738242511319164,slx5,4,1.0368087099767727,0.1476140350329771,0.03996833638362096,0.1489278400976548,0.18889617648127577,-0.10895950371403385
psy4,68,0.9968403735931517,0.019738242511319164,slx8,5,1.0799353124671458,0.06204939302705238,0.0830949388739941,0.0651131737243798,0.1482081125983739,0.017981765149614304
psy4,68,0.9968403735931517,0.019738242511319164,sod1,3,0.8212274272280444,0.5573201074989385,-0.17561294636510727,0.5576695261891795,0.38205657982407226,-0.7332824725542868
psy4,68,0.9968403735931517,0.019738242511319164,srs2,6,0.9673565906643993,0.07358865675211733,-0.029483782928752422,0.07618981966126834,0.046706036732515915,-0.10567360259002076
psy4,68,0.9968403735931517,0.019738242511319164,swi4,8,0.9848571301820946,0.13207113076661806,-0.011983243411057054,0.1335379414226862,0.12155469801162916,-0.14552118483374327
