orf,gene,alleles,MATa_hit,TS_hit,tSNE1,tSNE2
YHL044W,yhl044w,yhl044w,FALSE,FALSE,-9.805621643283782,-19.09991565617429
YHL045W,yhl045w,yhl045w,FALSE,FALSE,-14.025648585583168,-20.485264439925537
YMR241W,yhm2,yhm2,FALSE,FALSE,12.513711347826916,-12.274977823042315
YDR451C,yhp1,yhp1,FALSE,FALSE,3.691338299679518,16.8907114872353
YHR022C,yhr022c,yhr022c,FALSE,FALSE,23.84753368322899,-12.719409733330709
YHR022C-A,yhr022c,yhr022c-a,FALSE,FALSE,6.025199165389857,11.675371146205716
YHR033W,yhr033w,yhr033w,FALSE,FALSE,-8.843262051741547,18.360658081353577
YHR045W,yhr045w,yhr045w,FALSE,FALSE,-8.10651971466372,13.18819349003561
YHR078W,yhr078w,yhr078w,FALSE,FALSE,-24.900653768485903,8.517229283963088
YHR095W,yhr095w,yhr095w,FALSE,FALSE,-8.681923696002329,-17.27978162653919
YHR097C,yhr097c,yhr097c,FALSE,FALSE,-11.732220005874355,8.577270165812067
YHR112C,yhr112c,yhr112c,FALSE,FALSE,16.447989780676892,-8.392537708468089
YHR125W,yhr125w,yhr125w,FALSE,FALSE,-4.970015072975856,-13.08246069727516
YHR127W,yhr127w,yhr127w,FALSE,FALSE,11.428516746793823,-7.046260490811125
YHR130C,yhr130c,yhr130c,FALSE,FALSE,-4.396741057821066,-4.102038392596733
YHR131C,yhr131c,yhr131c,FALSE,FALSE,4.215056327658289,0.49287371937616503
YHR138C,yhr138c,yhr138c,FALSE,FALSE,-6.822548572867625,-0.8171807618659025
YHR140W,yhr140w,yhr140w,FALSE,FALSE,0.8626294348595515,14.022775396093548
YHR177W,yhr177w,yhr177w,FALSE,FALSE,8.390465997433067,-17.186187246779344
YHR180W,yhr180w,yhr180w,FALSE,FALSE,-9.539106223468169,-1.2806494201380296
YHR182W,yhr182w,yhr182w,FALSE,FALSE,-8.378717826597043,3.3148705702210006
YHR202W,yhr202w,yhr202w,FALSE,FALSE,-7.783979171993565,12.557172497299339
YHR210C,yhr210c,yhr210c,FALSE,FALSE,-16.00964214071609,-11.329215714151376
YIL006W,yia6,yia6,FALSE,FALSE,-3.2788442105399613,-14.011310308512872
YPL201C,yig1,yig1,FALSE,FALSE,2.015739670164985,2.404907764987556
YCR059C,yih1,yih1,FALSE,FALSE,-4.487505842590885,4.477903381568549
YIL001W,yil001w,yil001w,FALSE,FALSE,9.90623707938665,-4.385254219991663
YIL012W,yil012w,yil012w,FALSE,FALSE,-2.0531979917368863,2.422293387268097
YIL024C,yil024c,yil024c,FALSE,FALSE,-2.0065742173424206,9.394862749324606
YIL025C,yil025c,yil025c,FALSE,FALSE,4.038210035132257,0.9903234118481035
YIL028W,yil028w,yil028w,FALSE,FALSE,-3.0420507829259638,-15.708118958201288
YIL029C,yil029c,yil029c,FALSE,FALSE,-6.142520636656231,-13.26958510314753
YIL032C,yil032c,yil032c,FALSE,FALSE,11.005474058394837,0.34450886432199873
YIL054W,yil054w,yil054w,FALSE,FALSE,3.918045556298398,3.718607840867455
