from,to,any_sig,dEMAP_diff
apn1,nup84,FALSE,0.046877992919248455
apn1,pif1,FALSE,0.08979142479318503
apn1,pol30-RR,FALSE,-0.15570852070768926
apn1,pol32,FALSE,-0.07455180560167389
apn1,pso2,FALSE,-0.02792169484971199
apn1,psy2,FALSE,0.06146449332475198
apn1,psy4,TRUE,0.12724364011473766
apn1,rad1,FALSE,-0.03970949741731375
apn1,rad10,FALSE,0.021767041485160545
apn1,rad14,FALSE,-0.0037647631466170006
apn1,rad18,FALSE,-0.040021001966930606
apn1,rad2,FALSE,0.21202253733985918
apn1,rad23,FALSE,0.1478535803756021
apn1,rad28,FALSE,0.1059494177493808
apn1,rad4,FALSE,0.2827424602938503
apn1,rad5,FALSE,0.012350734625285631
apn1,rad50,TRUE,-0.253705955566214
apn1,rad51,FALSE,-0.03734334980707853
apn1,rad52,FALSE,0.0065292338158570076
apn1,rad54,FALSE,0.0035433169032477274
apn1,rad55,FALSE,0.057022927669645285
apn1,rad57,FALSE,-0.011780980670588508
apn1,rad61,TRUE,0.07594024740620403
apn1,rdh54,FALSE,0.010791173753667225
apn1,rev3,FALSE,0.024265677698175076
apn1,rev7,FALSE,-0.0031645626880608766
apn1,rph1,FALSE,0.06235624921056314
apn1,rrm3,TRUE,0.13743325115602475
apn1,rtt101,FALSE,0.1108074603419719
apn1,rtt107,FALSE,0.21387692850136333
apn1,rtt109,FALSE,0.17158928003836718
apn1,saw1,FALSE,0.10405947453186828
apn1,sgs1,FALSE,-0.06381562714827366
apn1,shu1,FALSE,0.031515089159109624
apn1,shu2,FALSE,0.23335862331955895
apn1,sin4,FALSE,0.02044105887861132
apn1,siz1,TRUE,0.10202903374614142
apn1,sky1,FALSE,0.28877385002523515
apn1,slx4,FALSE,0.0432224005516786
apn1,slx5,FALSE,-0.14411534090200132
apn1,slx8,TRUE,-0.0673273019749151
apn1,snf2,FALSE,0.010893252786176224
apn1,sod1,FALSE,0.08422198260074991
apn1,srs2,FALSE,-0.017591184736066263
apn1,swi4,FALSE,-0.021020803594736542
apn1,tdp1,FALSE,-0.07375713415268619
apn1,top3,FALSE,-0.05417272973133954
apn1,trm10,FALSE,0.06049866400747375
apn1,ubc13,FALSE,0.26981867506806817
apn1,vps41,FALSE,0.16270016623226408
apn1,wss1,TRUE,0.4005763308010182
apn1,xrs2,FALSE,0.015290952956150362
apn1,yku70,FALSE,0.16091322754434134
apn1,yps1,TRUE,0.06346110416583339
apq12,asf1,TRUE,-0.18639713308585795
apq12,csm2,FALSE,0.017411756019035638
apq12,csm3,FALSE,0.1261016085988526
apq12,ctf18,FALSE,-0.05369308843775104
apq12,ctf4,TRUE,-0.07081599351536257
apq12,ctf8,FALSE,0.11350180628327713
apq12,dbf2,FALSE,-0.053062257708664504
apq12,dcc1,TRUE,-0.0928209286070732
apq12,ddc1,FALSE,-0.04941869113388591
