A,n_a,P_a_est,ci95_a,C,n_ac,P_ac_est,ci95_ac,P_c_diff,P_c_diff_ci95,P_c_diff_upr,P_c_diff_lwr
sec66,67,0.8845010922977576,0.07774473285690972,30,4,0.9610836217183389,0.2748798666412509,0.0765825294205813,0.28566271120274717,0.36224524062332847,-0.20908018178216586
sec66,67,0.8845010922977576,0.07774473285690972,35,12,0.9213426643925603,0.22357689374567713,0.036841572094802655,0.23670840902671383,0.2735499811215165,-0.19986683693191118
sec66,67,0.8845010922977576,0.07774473285690972,40,30,0.7674523945329759,0.13418823261717533,-0.11704869776478177,0.15508296250688988,0.03803426474210811,-0.2721316602716717
sec66,67,0.8845010922977576,0.07774473285690972,50,9,0.9078555226616251,0.13288200040024814,0.023354430363867418,0.15395411497379277,0.1773085453376602,-0.13059968460992535
sec66,67,0.8845010922977576,0.07774473285690972,60,13,0.8523083274924791,0.18447671459423506,-0.03219276480527855,0.20018966435476912,0.16799689954949057,-0.23238242916004767
sec66,67,0.8845010922977576,0.07774473285690972,80,38,0.7545052239438989,0.11195222608984794,-0.1299958683538588,0.13629946593242648,0.006303597578567688,-0.26629533428628527
sec66,67,0.8845010922977576,0.07774473285690972,100,5,0.8033522309577211,0.26352500557633,-0.08114886134003652,0.27475383901048045,0.19360497767044393,-0.35590270035051697
sec66,67,0.8845010922977576,0.07774473285690972,125,4,NA,NA,NA,NA,NA,NA
sgs1,48,0.849369884767757,0.0339347806937208,5,25,0.7969331341315657,0.0391920411017354,-0.05243675063619124,0.05184192730262874,-5.948233335625053e-4,-0.10427867793881998
sgs1,48,0.849369884767757,0.0339347806937208,10,33,0.7464207867574583,0.030946039413890316,-0.10294909801029872,0.04592631812084416,-0.05702277988945456,-0.14887541613114288
sgs1,48,0.849369884767757,0.0339347806937208,20,4,0.592684312542094,0.17043609497645948,-0.256685572225663,0.1737815634972699,-0.08290400872839312,-0.43046713572293294
sgs1,48,0.849369884767757,0.0339347806937208,25,42,0.5669361083226515,0.047042427921646514,-0.2824337764451055,0.05800482191589104,-0.22442895452921444,-0.34043859836099655
sgs1,48,0.849369884767757,0.0339347806937208,30,4,0.4377655202465339,0.18141278754705414,-0.41160436452122307,0.18455939105427158,-0.2270449734669515,-0.5961637555754946
sgs1,48,0.849369884767757,0.0339347806937208,35,11,0.37219533562847334,0.04742587456511772,-0.47717454913928364,0.058316232037034135,-0.4188583171022495,-0.5354907811763178
sgs1,48,0.849369884767757,0.0339347806937208,40,23,0.29235159844863295,0.061613742807334934,-0.557018286319124,0.07034076089622107,-0.4866775254229029,-0.6273590472153451
sgs1,48,0.849369884767757,0.0339347806937208,50,5,0.4449355900408552,0.5152028281108113,-0.4044342947269018,0.5163192069196236,0.11188491219272184,-0.9207535016465254
sgs1,48,0.849369884767757,0.0339347806937208,60,11,0.11299619345463226,0.06186982913498996,-0.7363736913131247,0.07056518332665039,-0.6658085079864743,-0.8069388746397751
sgs1,48,0.849369884767757,0.0339347806937208,80,33,0.027723037063569277,0.014879907274061075,-0.8216468477041877,0.03705375799046005,-0.7845930897137277,-0.8587006056946478
sgs1,48,0.849369884767757,0.0339347806937208,100,5,0.006261495243086149,0.009483587512444951,-0.8431083895246708,0.03523503615490025,-0.8078733533697706,-0.878343425679571
sgs1,48,0.849369884767757,0.0339347806937208,125,4,NA,NA,NA,NA,NA,NA
shu1,68,0.984458721213256,0.02418745691206867,2.5,4,1.0179368605879098,0.09934791432729256,0.033478139374653826,0.10224989561391366,0.1357280349885675,-0.06877175623925984
shu1,68,0.984458721213256,0.02418745691206867,5,29,0.9791295972119234,0.026796519820301432,-0.005329124001332564,0.03609829007519589,0.030769166073863326,-0.04142741407652845
shu1,68,0.984458721213256,0.02418745691206867,10,39,0.9776734917466978,0.026531139859956,-0.006785229466558129,0.03590173330274911,0.02911650383619098,-0.04268696276930724
shu1,68,0.984458721213256,0.02418745691206867,20,4,0.9306736265992167,0.08412404121684264,-0.05378509461403924,0.08753220768680645,0.033747113072767204,-0.1413173023008457
shu1,68,0.984458721213256,0.02418745691206867,25,62,0.9720681137208623,0.027176023019625187,-0.012390607492393624,0.036380891949433794,0.02399028445704017,-0.04877149944182742
shu1,68,0.984458721213256,0.02418745691206867,30,4,0.8845850164810616,0.07090737134150697,-0.09987370473219437,0.07491921237196467,-0.024954492360229702,-0.17479291710415903
shu1,68,0.984458721213256,0.02418745691206867,35,12,0.9154362325301386,0.0556431741842649,-0.06902248868311733,0.060672859708222275,-0.008349628974895058,-0.12969534839133962
shu1,68,0.984458721213256,0.02418745691206867,40,31,0.92511406266016,0.03199555261410545,-0.0593446585530959,0.040109206660755195,-0.019235451892340702,-0.09945386521385109
shu1,68,0.984458721213256,0.02418745691206867,50,9,0.9632990296287584,0.10148440855105956,-0.021159691584497597,0.10432697757929896,0.08316728599480136,-0.12548666916379655
shu1,68,0.984458721213256,0.02418745691206867,60,13,0.8189658927271728,0.07089799557832946,-0.16549282848608315,0.07491033873169979,-0.09058248975438336,-0.24040316721778293
shu1,68,0.984458721213256,0.02418745691206867,80,39,0.7306117482596444,0.04888942447725263,-0.2538469729536116,0.05454547550063311,-0.19930149745297848,-0.3083924484542447
shu1,68,0.984458721213256,0.02418745691206867,100,5,0.32939648833662727,0.17015090821745651,-0.6550622328766287,0.1718614693266018,-0.4832007635500269,-0.8269237022032305
shu1,68,0.984458721213256,0.02418745691206867,125,4,NA,NA,NA,NA,NA,NA
shu2,66,0.9742622576202379,0.017650070330764486,2.5,4,1.0135331486438466,0.05434046407850744,0.0392708910236087,0.05713502445040599,0.0964059154740147,-0.01786413342679729
shu2,66,0.9742622576202379,0.017650070330764486,5,28,0.9924353559328567,0.02061305492283205,0.01817309831261882,0.027137115099667895,0.045310213412286714,-0.008964016787049077
shu2,66,0.9742622576202379,0.017650070330764486,10,37,0.9844667136601214,0.023597793519955258,0.010204456039883514,0.02946830232116155,0.039672758361045064,-0.019263846281278037
shu2,66,0.9742622576202379,0.017650070330764486,20,4,0.9774952653372413,0.06316464677445814,0.003233007717003411,0.06558427848823983,0.06881728620524324,-0.06235127077123642
shu2,66,0.9742622576202379,0.017650070330764486,25,60,0.9505693298192874,0.021670406245462064,-0.023692927800950447,0.027948729658506734,0.004255801857556286,-0.05164165745945718
shu2,66,0.9742622576202379,0.017650070330764486,30,4,0.9594414285735707,0.04990111707667443,-0.01482082904666715,0.052930581596851,0.03810975255018385,-0.06775141064351814
shu2,66,0.9742622576202379,0.017650070330764486,35,11,0.9432242915488198,0.04418959126208933,-0.031037966071418066,0.047584083038254024,0.016546116966835958,-0.07862204910967209
shu2,66,0.9742622576202379,0.017650070330764486,40,29,0.9497209799066246,0.023109408336309766,-0.024541277713613252,0.029078681819079008,0.004537404105465756,-0.05361995953269226
shu2,66,0.9742622576202379,0.017650070330764486,50,9,0.9254398760061568,0.08644339553126498,-0.048822381614081034,0.08822689847011315,0.03940451685603212,-0.1370492800841942
shu2,66,0.9742622576202379,0.017650070330764486,60,13,0.858246706374281,0.048439144567409664,-0.11601555124595686,0.05155458960270507,-0.0644609616432518,-0.16757014084866192
shu2,66,0.9742622576202379,0.017650070330764486,80,37,0.7765032177903517,0.034191210363560556,-0.19775903982988619,0.03847809570140112,-0.15928094412848506,-0.2362371355312873
shu2,66,0.9742622576202379,0.017650070330764486,100,5,0.4647740722395726,0.15830308570240897,-0.5094881853806652,0.15928399770719334,-0.35020418767347183,-0.6687721830878586
shu2,66,0.9742622576202379,0.017650070330764486,125,4,NA,NA,NA,NA,NA,NA
sic1,68,0.5149330192459809,0.08269222349421185,2.5,4,0.0033660098431470198,0.0073449726744943605,-0.5115670094028338,0.08301778393817646,-0.42854922546465735,-0.5945847933410103
sic1,68,0.5149330192459809,0.08269222349421185,5,29,0.40818334223460606,0.14733604859540378,-0.10674967701137483,0.16895536405253272,0.06220568704115789,-0.2757050410639076
sic1,68,0.5149330192459809,0.08269222349421185,10,39,0.4992592529137867,0.12097835236512763,-0.015673766332194194,0.14653929700731358,0.13086553067511938,-0.16221306333950777
sic1,68,0.5149330192459809,0.08269222349421185,20,4,0.5765808468841869,0.7814715913875194,0.061647827638205976,0.785834494007586,0.847482321645792,-0.72418666636938
sic1,68,0.5149330192459809,0.08269222349421185,25,62,0.4772414974745967,0.08418076108714564,-0.037691521771384184,0.11800171339276297,0.08031019162137878,-0.15569323516414715
sic1,68,0.5149330192459809,0.08269222349421185,30,4,0.6080579800593786,0.8371332390422621,0.09312496081339772,0.8412075033758353,0.934332464189233,-0.7480825425624376
sic1,68,0.5149330192459809,0.08269222349421185,35,12,0.4970839204772571,0.22868363241813122,-0.017849098768723815,0.2431752609998962,0.22532616223117238,-0.26102435976862004
sic1,68,0.5149330192459809,0.08269222349421185,40,31,0.36702527804641616,0.141564916696204,-0.14790774119956474,0.16394703250019457,0.016039291300629838,-0.31185477369975934
