strain_id,strain_name,size,control_size,log2_ratio,z
rec1772,ira2,0.3210862687077255,0.8947335603477257,-1.4784971617414735,-2.3179162377330145
rec2820,chl1,0.4046804001490577,1.1270755221892483,-1.4777293078351317,-2.3164190702951353
rec4123,idp2,0.3048037880360891,0.8359761843210924,-1.4555810102761861,-2.2732341497837725
rec3125,atp1,0.20002084833575587,0.548396956890567,-1.4550701843654412,-2.272238137503734
rec2995,sws2,0.15951793332285175,0.43183298418195054,-1.4367548194683075,-2.2365266985042216
rec5890,ygr237c,0.5808630517531497,1.5715144206193,-1.4358855415566045,-2.234831773762522
rec957,shu1,0.4399091249383731,1.1869604748597036,-1.4319944626395131,-2.227244918236005
rec2810,ctf19,0.3771207673525665,1.0037762124233953,-1.4123391581383582,-2.1889208547159997
rec4136,skg3,0.31114406756125473,0.8254478920167838,-1.40759440582387,-2.179669500249502
rec4496,rsm23,0.3295256300590631,0.8685823236240056,-1.39827191256926,-2.161492431375626
rec5412,rsm19,0.22651813943878976,0.5887783729026026,-1.3780980940087628,-2.122157365164459
rec5847,qcr6,0.3575004666090636,0.9264474752025036,-1.373764060301418,-2.1137068329893736
rec3018,ynl058c,0.519717403060216,1.34537426352719,-1.3722082908981212,-2.110673381870317
rec6740,csm3,0.36407287744913447,0.9302341477004575,-1.353366632829763,-2.0739357724076117
rec6577,ubc8,0.28955529900027804,0.7381770218505157,-1.3501279306513188,-2.067620926051414
rec7496,ygl007c-a,0.16542346260379348,0.4193079258293059,-1.3418462288670132,-2.0514732003717215
rec3355,hpc2,0.3210540680751457,0.8077748281842324,-1.3311369103898252,-2.0305920890385645
rec6424,yll044w,0.2291306937355262,0.5657739590442202,-1.304055043978342,-1.9777876581261356
rec2978,ras2,0.4140859944790406,1.0209330178651943,-1.3018859031552692,-1.97355825070676
rec5411,mrps12,0.22761370521666224,0.5607328500800135,-1.3007261626983262,-1.9712969798658018
rec2318,bnr1,0.22758264122643052,0.5580618935495136,-1.2940346165416832,-1.95824975182926
rec4945,cwp1,0.328570134063884,0.8038932596892563,-1.2908026041647684,-1.9519479492994114
rec1724,mse1,0.39606905500043194,0.9632323416620465,-1.2821318456692288,-1.9350416378591506
rec1837,cka2,0.7567004539047594,1.8249158089840258,-1.270035692318297,-1.911456465248795
rec4964,apn1,0.3932350172309791,0.9479426682133911,-1.269408009122059,-1.9102326037369244
rec4118,ylr169w,0.3339252590905665,0.8014233898429317,-1.2630393887475857,-1.8978150188680776
rec5034,spe1,0.49711041925747596,1.1922290907707631,-1.2620232339861466,-1.8958337125178626
rec6910,yjr098c,0.6324050381730834,1.5065007171534317,-1.2522805933572367,-1.8768374370700318
rec2391,irc14,0.1258731459295665,0.2987255310936087,-1.246850017381673,-1.866248858367245
rec1187,sip3,0.696960570681271,1.6516782049544871,-1.2447836895198885,-1.8622199164486126
rec4371,cdh1,0.3086140130987685,0.731131348043396,-1.24432703900523,-1.861329535771519
rec2489,kin4,0.13269108819986342,0.31416592062747156,-1.2434552120814386,-1.8596296409464927
rec1627,mip1,0.3175837591765487,0.7512142210251224,-1.2420872376988858,-1.8569623539997242
rec5873,mrpl9,0.24505616519981616,0.5779314848485091,-1.2377860249582273,-1.848575816397299
rec2465,npt1,0.5997758556347779,1.4070976673442792,-1.230227118359807,-1.8338374023166306
rec1027,dip5,0.4047881788178595,0.9485014655328201,-1.2284828436724737,-1.8304364021484687
rec4924,ykl075c,0.5812114420556695,1.3537594413744514,-1.219836389427064,-1.8135774793215835
rec2281,pog1,0.6647598162945454,1.5439555587115366,-1.2157261454357704,-1.8055632940518613
rec2434,gac1,0.4278937541390239,0.9927755076105835,-1.2142149032763407,-1.8026166624945283
rec4503,mrm2,0.5078594761676917,1.176196849592247,-1.211628265279376,-1.7975732158822861
rec3237,mms4,0.36478272297563685,0.8402634601967529,-1.2038043468119781,-1.7823180796262044
rec3453,ycl046w,0.3197994599269944,0.7354839111191057,-1.201526280120719,-1.777876287713314
rec1974,kex2,0.3819017291825462,0.8722892534083316,-1.1916051635658556,-1.7585320185357178
rec4403,mig1,0.7702590944637536,1.7561199955802382,-1.1889757111065806,-1.753405091956373
rec3627,msw1,0.3154553327573246,0.7168782677936698,-1.184292417788056,-1.7442735707117438
rec3860,ydl162c,0.4914593550041218,1.1166175972081054,-1.183991185503752,-1.7436862256926284
rec1031,ypl260w,0.5381433701144444,1.2221376855468598,-1.1833443413228324,-1.7424250039458145
rec3173,csg2,0.18618336805654853,0.4220568181917693,-1.180713029414171,-1.7372944517977895
rec5786,hcm1,0.35460220430074807,0.7995938438277879,-1.1730658602001445,-1.7223839425920247
rec2978,ras2,0.5931552437768562,1.330648579497451,-1.1656479606976113,-1.707920465228782
rec925,cbp2,0.3097070046136046,0.694630714761548,-1.1653421916718003,-1.7073242744362687
