from,to,any_sig,EMAP_diff
aft1,ssz1,TRUE,-0.36100801470157867
aft1,swi4,FALSE,0.10361849084061403
aft1,swi5,FALSE,-0.14863622090525763
aft1,tdp1,TRUE,-0.26155912990556285
aft1,tip41,FALSE,-0.7796902181386547
aft1,tof1,FALSE,-0.5705470270178417
aft1,top3,TRUE,0.11854912456324906
aft1,trm10,FALSE,0.06540929394985939
aft1,ubc13,FALSE,-0.03110016786070724
aft1,ubp7,FALSE,-0.0013554129978179397
aft1,vam3,TRUE,-0.35827456814738073
aft1,vma10,TRUE,-0.4891679486104802
aft1,vph2,TRUE,-0.3217363371060942
aft1,vps20,TRUE,-0.15811372942119473
aft1,vps41,TRUE,-0.28309264445203197
aft1,vps51,FALSE,-0.7720228510571316
aft1,whi3,TRUE,-0.9916576841159532
aft1,wss1,FALSE,-0.18344229563070447
aft1,xrs2,FALSE,-0.17965727368543036
aft1,yaf9,FALSE,-3.682233601632887e-4
aft1,yku70,FALSE,-0.020537499045227003
aft1,yps1,FALSE,-0.08539435891150243
apn1,asf1,FALSE,0.003870029183932089
apn1,csm2,FALSE,-0.4867485667024768
apn1,csm3,FALSE,-0.2542939362247931
apn1,ctf18,FALSE,-0.02221891149054145
apn1,ctf4,FALSE,-0.04821884257550779
apn1,dcc1,TRUE,-0.7914492566154577
apn1,ddc1,FALSE,-0.34594616637444553
apn1,dia2,FALSE,-0.24447815799243067
apn1,erg2,FALSE,-0.2192392176114769
apn1,esc2,FALSE,0.07714454215507294
apn1,exo1,TRUE,-0.4353165314310712
apn1,gpx2,TRUE,0.18515340540597036
apn1,hpc2,FALSE,0.05638338063896653
apn1,hrq1,FALSE,-0.2601826574897107
apn1,ina1,FALSE,0.1348555219582267
apn1,irc21,FALSE,0.04290988349849256
apn1,mlh1,FALSE,0.03274812994775955
apn1,mlh3,TRUE,0.15534702179785043
apn1,mms1,FALSE,-0.19952422264532788
apn1,mms2,FALSE,-0.20209349397253507
apn1,mms22,FALSE,0.0807638245233736
apn1,mph1,FALSE,-0.17983961039745078
apn1,mre11,FALSE,-0.053463788672043155
apn1,mus81,FALSE,-0.04750771934053444
apn1,nup84,FALSE,-0.11711606037249245
apn1,pif1,FALSE,0.262900291513232
apn1,pol30-RR,FALSE,-0.3149742400468089
apn1,pol32,FALSE,-0.1542946511579837
apn1,pso2,FALSE,-0.10380102531855251
apn1,psy2,FALSE,-0.17440837568472367
apn1,psy4,FALSE,0.066435143209441
